VegID,PointID,CenterVsEdge,VFzone,LocationType,Control_or_Treatment,Burn2023,Burn2022,Date,CenterRobel_N,CenterRobel_E,CenterRobel_S,CenterRobel_W,EdgeRobel_N,EdgeRobel_E,EdgeRobel_S,EdgeRobel_W,Plot%Shrub,Plot%Tree,VegPlotLocation,%LiveGrass,%LiveForb,%Shrub,%DeadGrass,%OtherDead,%Litter,%Bare,PropLiveGrass,PropLiveForb,PropShrub,PropDeadGrass,PropOtherDead,PropLitter,PropBare
92,8T_East,Edge,8T,uplands,Treatment,yes,no,19-May-22,3.5,2,2,2.5,2,3,1,2,-999,-999,Center,20,15,0,55,0,0,10,0.2,0.15,0,0.55,0,0,0.1
92,8T_East,Edge,8T,uplands,Treatment,yes,no,19-May-22,3.5,2,2,2.5,2,3,1,2,-999,-999,North,10,25,0,65,0,0,0,0.1,0.25,0,0.65,0,0,0
92,8T_East,Edge,8T,uplands,Treatment,yes,no,19-May-22,3.5,2,2,2.5,2,3,1,2,-999,-999,East,25,10,0,65,0,0,0,0.25,0.1,0,0.65,0,0,0
92,8T_East,Edge,8T,uplands,Treatment,yes,no,19-May-22,3.5,2,2,2.5,2,3,1,2,-999,-999,South,5,20,0,75,0,0,0,0.05,0.2,0,0.75,0,0,0
92,8T_East,Edge,8T,uplands,Treatment,yes,no,19-May-22,3.5,2,2,2.5,2,3,1,2,-999,-999,West,5,40,0,50,0,0,5,0.05,0.4,0,0.5,0,0,0.05
93,8T_South,Edge,8T,uplands,Treatment,yes,no,19-May-22,0,1,1.5,0,0,1.5,1,0,0,0,Center,20,0,0,60,0,0,20,0.2,0,0,0.6,0,0,0.2
93,8T_South,Edge,8T,uplands,Treatment,yes,no,19-May-22,0,1,1.5,0,0,1.5,1,0,0,0,North,20,25,0,55,0,0,0,0.2,0.25,0,0.55,0,0,0
93,8T_South,Edge,8T,uplands,Treatment,yes,no,19-May-22,0,1,1.5,0,0,1.5,1,0,0,0,East,10,10,0,80,0,0,0,0.1,0.1,0,0.8,0,0,0
93,8T_South,Edge,8T,uplands,Treatment,yes,no,19-May-22,0,1,1.5,0,0,1.5,1,0,0,0,South,6,4,0,90,0,0,0,0.06,0.04,0,0.9,0,0,0
93,8T_South,Edge,8T,uplands,Treatment,yes,no,19-May-22,0,1,1.5,0,0,1.5,1,0,0,0,West,10,25,0,60,0,0,5,0.1,0.25,0,0.6,0,0,0.05
94,8T_Center,Center,8T,uplands,Treatment,yes,no,19-May-22,1,1.5,1,1,1,0,1,0,0,0,Center,40,20,0,40,0,0,0,0.4,0.2,0,0.4,0,0,0
94,8T_Center,Center,8T,uplands,Treatment,yes,no,19-May-22,1,1.5,1,1,1,0,1,0,0,0,North,30,25,0,30,0,5,10,0.3,0.25,0,0.3,0,0.05,0.1
94,8T_Center,Center,8T,uplands,Treatment,yes,no,19-May-22,1,1.5,1,1,1,0,1,0,0,0,East,35,10,0,30,0,20,5,0.35,0.1,0,0.3,0,0.2,0.05
94,8T_Center,Center,8T,uplands,Treatment,yes,no,19-May-22,1,1.5,1,1,1,0,1,0,0,0,South,35,25,15,0,0,15,10,0.35,0.25,0.15,0,0,0.15,0.1
94,8T_Center,Center,8T,uplands,Treatment,yes,no,19-May-22,1,1.5,1,1,1,0,1,0,0,0,West,20,40,0,10,0,15,15,0.2,0.4,0,0.1,0,0.15,0.15
95,8T_North,Edge,8T,uplands,Treatment,yes,no,19-May-22,2.5,2,1.5,2,1.5,1.5,1.5,2,0,0,Center,50,2,0,43,0,0,5,0.5,0.02,0,0.43,0,0,0.05
95,8T_North,Edge,8T,uplands,Treatment,yes,no,19-May-22,2.5,2,1.5,2,1.5,1.5,1.5,2,0,0,North,50,40,0,10,0,0,0,0.5,0.4,0,0.1,0,0,0
95,8T_North,Edge,8T,uplands,Treatment,yes,no,19-May-22,2.5,2,1.5,2,1.5,1.5,1.5,2,0,0,East,10,10,0,75,0,0,5,0.1,0.1,0,0.75,0,0,0.05
95,8T_North,Edge,8T,uplands,Treatment,yes,no,19-May-22,2.5,2,1.5,2,1.5,1.5,1.5,2,0,0,South,10,40,0,40,0,0,10,0.1,0.4,0,0.4,0,0,0.1
95,8T_North,Edge,8T,uplands,Treatment,yes,no,19-May-22,2.5,2,1.5,2,1.5,1.5,1.5,2,0,0,West,10,25,0,60,0,0,5,0.1,0.25,0,0.6,0,0,0.05
