Date sampled,Location,Transect,Coordinates,Coordinates,Management,Spring site,Stream dry or wet ,Pool or riffle,Wetted width (m),Sum canopy,Sum under,Sum ground,sum fec 1 m,sum fec 1 to 5,sum fec 5 to 10,tot fec,Canopy cover (right bank),Understory (right bank),Ground cover (right bank),Canopy cover (left bank),Understory (left bank),Ground cover (left bank),Fecal matter within stream (right bank),Fecal matter 1m of stream (right bank),Fecal matter 1-5m of stream (right bank),Fecal matter 5-10m of stream (right bank),Fecal matter within stream (left bank),Fecal matter 1m of stream (left bank),Fecal matter 1-5m of stream (left bank),Fecal matter 5-10m of stream (left bank),average sed,Sediment size point 1 (mm),Sediment size point 2 (mm),Sediment size point 3 (mm),Sediment size point 4 (mm),Sediment size point 5 (mm),Sediment size point 6 (mm),Sediment size point 7 (mm),Sediment size point 8 (mm),Sediment size point 9 (mm),Sediment size point 10 (mm),Sediment size point 11 (mm)
5/20/2022,VFMC,Transect 1,"38°25'16""N","96°37'28""W",Cattle,No,Wet,Riffle,1.35,0,0,8,10,40,40,90,0,0,4,0,0,4,1,5,22,18,5,5,18,22,10.62222,Other,5.6,5.6,4,5.6,16,8,5.6,Other,22.6,22.6
5/20/2022,VFMC,Transect 2,"38°25'16""N","96°37'27""W",Cattle,No,Wet,Riffle,1.5,0,2,8,4,6,16,27,0,1,4,0,1,4,0,1,4,5,0,3,2,11,18.52,16,45,32,16,8,22.6,16,5.6,8,Other,16
5/20/2022,VFMC,Transect 3,"38°25'16""N","96°37'27""W",Cattle,No,Wet,Riffle,1.5,0,2,8,1,2,10,13,0,1,4,0,1,4,0,0,0,4,0,1,2,6,52.82222,Other,16,2.8,Other,128,22.6,16,128,90,8,64
5/20/2022,VFMC,Transect 4,"38°25'17""N","96°37'27""W",Cattle,No,Wet,Riffle,2,0,2,8,1,4,15,20,0,1,4,0,1,4,0,1,2,7,0,0,2,8,35.16,45,8,8,8,8,11,16,22.6,>180,45,Other
5/20/2022,VFMC,Transect 5,"38°25'17""N","96°37'26""W",Cattle,No,Wet,Riffle,1.8,0,3,8,0,6,17,23,0,1,4,0,2,4,0,0,1,11,0,0,5,6,27.86,Other,5.6,5.6,5.6,5.6,16,22.6,16,>180,5.6,16
5/20/2022,VFMC,Transect 6,"38°25'16""N","96°37'25""W",Cattle,No,Wet,Riffle,1,0,3,8,0,3,10,13,0,1,4,0,2,4,0,0,0,5,0,0,3,5,9.925,8,4,2.8,Other,22.6,Other,5.6,11,22.6,2.8,Other
5/20/2022,VFMC,Transect 7,"38°25'17""N","96°37'25""W",Cattle,No,Wet,Riffle,1.5,0,3,8,0,13,15,28,0,2,4,0,1,4,0,0,9,11,0,0,4,4,44.11111,128,64,8,8,16,64,32,45,Wood/leaves,Other,32
5/20/2022,VFMC,Transect 8,"38°25'17""N","96°37'26""W",Cattle,No,Wet,Riffle,1.6,1,3,8,3,9,22,34,1,1,4,0,2,4,0,2,4,20,0,1,5,2,42.725,32,Wood/leaves,64,22.6,5.6,Other,16,16,Other,>180,5.6
5/20/2022,VFMC,Transect 9,"38°25'17""N","96°37'26""W",Cattle,No,Wet,Riffle,2,1,3,8,6,2,2,10,1,2,4,0,1,4,0,3,1,1,0,3,1,1,13.74545,11,5.6,2,8,16,32,11,16,22.6,11,16
5/20/2022,VFMC,Transect 10,"38°25'18""N","96°37'27""W",Cattle,No,Wet,Riffle,2,0,3,6,7,10,23,40,0,2,3,0,1,3,0,5,4,17,0,2,6,6,36.94,32,22.6,22.6,22.6,16,32,8,Other,>180,11,22.6
